time;SVarC_injector_UPu;SVarC_injector_BPu;SVarC_injector_GPu;SVarC_injector_PInjPu;SVarC_injector_QInjPu;SVarC_control_regulation_IPu;SVarC_control_regulation_IMaxPu;SVarC_control_modeHandling_mode;SVarC_control_modeHandling_URefPu;
1.12161;0.9849;1.0155;0.0000;0.0000;2.4627;1.0002;1.0000;3.0000;1.0000;
1.12173;0.9849;1.0157;0.0000;0.0000;2.4632;1.0004;1.0000;3.0000;1.0000;
1.12199;0.9850;1.0160;0.0000;0.0000;2.4642;1.0007;1.0000;3.0000;1.0000;
1.1225;0.9850;1.0167;0.0000;0.0000;2.4660;1.0014;1.0000;3.0000;1.0000;
1.12353;0.9851;1.0180;0.0000;0.0000;2.4697;1.0028;1.0000;3.0000;1.0000;
1.12557;0.9853;1.0205;0.0000;0.0000;2.4769;1.0055;1.0000;3.0000;1.0000;
1.12967;0.9857;1.0252;0.0000;0.0000;2.4902;1.0105;1.0000;3.0000;1.0000;
1.13786;0.9864;1.0334;0.0000;0.0000;2.5135;1.0193;1.0000;3.0000;1.0000;
1.14605;0.9869;1.0402;0.0000;0.0000;2.5328;1.0266;1.0000;3.0000;1.0000;
1.15425;0.9874;1.0458;0.0000;0.0000;2.5488;1.0326;1.0000;3.0000;1.0000;
1.16244;0.9877;1.0504;0.0000;0.0000;2.5620;1.0375;1.0000;3.0000;1.0000;
1.17621;0.9882;1.0566;0.0000;0.0000;2.5797;1.0442;1.0000;3.0000;1.0000;
1.17621;0.9882;1.0565;0.0000;0.0000;2.5794;1.0441;1.0000;3.0000;1.0000;
1.17621;0.9882;1.0565;0.0000;0.0000;2.5794;1.0441;1.0000;3.0000;1.0000;
1.17621;0.9882;1.0565;0.0000;0.0000;2.5794;1.0441;1.0000;3.0000;1.0000;
1.17621;0.9882;1.0565;0.0000;0.0000;2.5794;1.0441;1.0000;3.0000;1.0000;
1.17622;0.9882;1.0565;0.0000;0.0000;2.5794;1.0441;1.0000;3.0000;1.0000;
1.17622;0.9882;1.0565;0.0000;0.0000;2.5794;1.0441;1.0000;3.0000;1.0000;
1.17624;0.9882;1.0565;0.0000;0.0000;2.5794;1.0440;1.0000;3.0000;1.0000;
1.17627;0.9882;1.0565;0.0000;0.0000;2.5794;1.0440;1.0000;3.0000;1.0000;
1.17634;0.9882;1.0564;0.0000;0.0000;2.5793;1.0440;1.0000;3.0000;1.0000;
1.17646;0.9882;1.0564;0.0000;0.0000;2.5792;1.0440;1.0000;3.0000;1.0000;
1.17672;0.9882;1.0563;0.0000;0.0000;2.5789;1.0439;1.0000;3.0000;1.0000;
1.17723;0.9882;1.0561;0.0000;0.0000;2.5784;1.0437;1.0000;3.0000;1.0000;
1.17826;0.9882;1.0558;0.0000;0.0000;2.5774;1.0433;1.0000;3.0000;1.0000;
1.1803;0.9881;1.0551;0.0000;0.0000;2.5754;1.0425;1.0000;3.0000;1.0000;
1.1844;0.9880;1.0537;0.0000;0.0000;2.5714;1.0411;1.0000;3.0000;1.0000;
1.1885;0.9879;1.0524;0.0000;0.0000;2.5677;1.0396;1.0000;3.0000;1.0000;
1.19259;0.9878;1.0511;0.0000;0.0000;2.5640;1.0383;1.0000;3.0000;1.0000;
1.19669;0.9877;1.0499;0.0000;0.0000;2.5605;1.0370;1.0000;3.0000;1.0000;
1.20488;0.9875;1.0475;0.0000;0.0000;2.5538;1.0344;1.0000;3.0000;1.0000;
1.22126;0.9872;1.0436;0.0000;0.0000;2.5425;1.0302;1.0000;3.0000;1.0000;
1.23765;0.9869;1.0401;0.0000;0.0000;2.5326;1.0265;1.0000;3.0000;1.0000;
1.25403;0.9867;1.0371;0.0000;0.0000;2.5239;1.0232;1.0000;3.0000;1.0000;
1.2868;0.9862;1.0318;0.0000;0.0000;2.5090;1.0176;1.0000;3.0000;1.0000;
1.31957;0.9859;1.0277;0.0000;0.0000;2.4974;1.0133;1.0000;3.0000;1.0000;
1.3851;0.9854;1.0221;0.0000;0.0000;2.4814;1.0072;1.0000;3.0000;1.0000;
1.44226;0.9852;1.0193;0.0000;0.0000;2.4734;1.0042;1.0000;3.0000;1.0000;
1.49943;0.9851;1.0176;0.0000;0.0000;2.4685;1.0024;1.0000;3.0000;1.0000;
1.55659;0.9850;1.0166;0.0000;0.0000;2.4657;1.0013;1.0000;3.0000;1.0000;
1.61375;0.9850;1.0160;0.0000;0.0000;2.4642;1.0007;1.0000;3.0000;1.0000;
1.67091;0.9849;1.0157;0.0000;0.0000;2.4633;1.0004;1.0000;3.0000;1.0000;
1.72807;0.9849;1.0155;0.0000;0.0000;2.4628;1.0002;1.0000;3.0000;1.0000;
1.84239;0.9849;1.0153;0.0000;0.0000;2.4623;1.0000;1.0000;3.0000;1.0000;
1.95671;0.9849;1.0153;0.0000;0.0000;2.4623;1.0000;1.0000;3.0000;1.0000;
2.18536;0.9849;1.0153;0.0000;0.0000;2.4623;1.0000;1.0000;3.0000;1.0000;
2.64265;0.9849;1.0153;0.0000;0.0000;2.4623;1.0000;1.0000;3.0000;1.0000;
3;0.9849;1.0153;0.0000;0.0000;2.4623;1.0000;1.0000;3.0000;1.0000;
