time;SM_generator_cePu;SM_generator_PePu;SM_generator_cmPu;SM_generator_PmPu;SM_generator_ufPu;SM_generator_efdPu;SM_generator_omegaPu;SM_generator_theta;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_PGen;SM_generator_QGen;SM_generator_UPu;SM_generator_IStatorPu;SM_generator_IRotorPu;SM_generator_UStatorPu;SM_generator_QStatorPu;SM_generator_thetaInternal;
1.00102;0.024959;0.024963;0.902244;0.902359;0.002187;5.000000;1.000128;1.224075;0.000000;27.680771;0.000000;2768.077142;0.432256;64.037919;3.749795;0.432256;27.680771;0.503238;
1.00205;0.024605;0.024611;0.901486;0.901718;0.002187;5.000000;1.000257;1.224137;0.000000;27.291371;0.000000;2729.137106;0.429205;63.585895;3.779606;0.429205;27.291371;0.497089;
1.00307;0.024267;0.024276;0.900730;0.901076;0.002187;5.000000;1.000385;1.224240;0.000000;26.919427;0.000000;2691.942698;0.426270;63.151117;3.808241;0.426270;26.919427;0.491005;
1.0041;0.023943;0.023956;0.899974;0.900436;0.002187;5.000000;1.000513;1.224384;-0.000000;26.564119;-0.000000;2656.411899;0.423448;62.732973;3.835744;0.423448;26.564119;0.484991;
1.00512;0.023634;0.023649;0.899219;0.899795;0.002187;5.000000;1.000641;1.224570;0.000000;26.224656;0.000000;2622.465645;0.420733;62.330856;3.862161;0.420733;26.224656;0.479047;
1.00614;0.023339;0.023357;0.898464;0.899155;0.002187;5.000000;1.000769;1.224797;0.000000;25.900281;0.000000;2590.028075;0.418123;61.944171;3.887534;0.418123;25.900281;0.473176;
1.00717;0.023057;0.023077;0.897709;0.898515;0.002187;5.000000;1.000897;1.225065;-0.000000;25.590271;-0.000000;2559.027126;0.415613;61.572342;3.911906;0.415613;25.590271;0.467379;
1.00819;0.022787;0.022810;0.896956;0.897875;0.002187;5.000000;1.001025;1.225374;0.000000;25.293944;0.000000;2529.394379;0.413200;61.214812;3.935315;0.413200;25.293944;0.461659;
1.00922;0.022529;0.022555;0.896203;0.897236;0.002187;5.000000;1.001153;1.225724;0.000000;25.010649;0.000000;2501.064899;0.410880;60.871043;3.957801;0.410880;25.010649;0.456015;
1.01024;0.022282;0.022310;0.895450;0.896597;0.002187;5.000000;1.001281;1.226115;-0.000000;24.739771;-0.000000;2473.977055;0.408648;60.540515;3.979401;0.408648;24.739771;0.450451;
1.01126;0.022046;0.022077;0.894699;0.895959;0.002187;5.000000;1.001408;1.226548;0.000000;24.480723;0.000000;2448.072346;0.406503;60.222726;4.000151;0.406503;24.480723;0.444966;
1.01229;0.021820;0.021853;0.893948;0.895321;0.002187;5.000000;1.001536;1.227022;-0.000000;24.232952;-0.000000;2423.295232;0.404441;59.917193;4.020083;0.404441;24.232952;0.439562;
1.01331;0.021604;0.021640;0.893197;0.894683;0.002187;5.000000;1.001663;1.227536;0.000000;23.995930;0.000000;2399.592973;0.402458;59.623450;4.039232;0.402458;23.995930;0.434240;
1.01434;0.021397;0.021435;0.892447;0.894046;0.002187;5.000000;1.001791;1.228092;-0.000000;23.769155;-0.000000;2376.915482;0.400552;59.341045;4.057628;0.400552;23.769155;0.428999;
1.01536;0.021199;0.021239;0.891698;0.893409;0.002187;5.000000;1.001918;1.228688;0.000000;23.552152;0.000000;2355.215176;0.398719;59.069544;4.075302;0.398719;23.552152;0.423841;
1.01638;0.021009;0.021052;0.890950;0.892772;0.002187;5.000000;1.002046;1.229326;-0.000000;23.344469;-0.000000;2334.446850;0.396958;58.808530;4.092283;0.396958;23.344469;0.418767;
1.01741;0.020828;0.020873;0.890202;0.892136;0.002187;5.000000;1.002173;1.230005;0.000000;23.145675;0.000000;2314.567543;0.395264;58.557600;4.108598;0.395264;23.145675;0.413775;
1.01843;0.020654;0.020701;0.889455;0.891500;0.002187;5.000000;1.002300;1.230724;0.000000;22.955364;0.000000;2295.536424;0.393635;58.316363;4.124274;0.393635;22.955364;0.408866;
1.01946;0.020487;0.020537;0.888708;0.890865;0.002187;5.000000;1.002427;1.231484;0.000000;22.773147;0.000000;2277.314675;0.392070;58.084448;4.139336;0.392070;22.773147;0.404041;
1.02048;0.020328;0.020380;0.887963;0.890230;0.002187;5.000000;1.002554;1.232286;-0.000000;22.598654;-0.000000;2259.865390;0.390565;57.861492;4.153810;0.390565;22.598654;0.399300;
1.0215;0.020175;0.020229;0.887217;0.889596;0.002187;5.000000;1.002681;1.233128;-0.000000;22.431535;-0.000000;2243.153469;0.389118;57.647150;4.167719;0.389118;22.431535;0.394641;
1.02253;0.020028;0.020084;0.886473;0.888962;0.002187;5.000000;1.002808;1.234010;0.000000;22.271455;0.000000;2227.145526;0.387727;57.441087;4.181085;0.387727;22.271455;0.390064;
1.02355;0.019888;0.019946;0.885729;0.888328;0.002187;5.000000;1.002934;1.234934;0.000000;22.118098;0.000000;2211.809801;0.386390;57.242981;4.193931;0.386390;22.118098;0.385571;
1.02458;0.019753;0.019814;0.884986;0.887695;0.002187;5.000000;1.003061;1.235898;0.000000;21.971161;0.000000;2197.116070;0.385105;57.052522;4.206277;0.385105;21.971161;0.381159;
1.0256;0.019624;0.019687;0.884244;0.887063;0.002187;5.000000;1.003188;1.236903;0.000000;21.830356;0.000000;2183.035574;0.383869;56.869414;4.218143;0.383869;21.830356;0.376828;
1.02662;0.019500;0.019565;0.883503;0.886431;0.002187;5.000000;1.003314;1.237949;0.000000;21.695409;0.000000;2169.540933;0.382680;56.693370;4.229548;0.382680;21.695409;0.372578;
1.02765;0.019382;0.019448;0.882762;0.885799;0.002187;5.000000;1.003440;1.239036;0.000000;21.566061;0.000000;2156.606084;0.381538;56.524114;4.240512;0.381538;21.566061;0.368408;
1.02867;0.019268;0.019337;0.882022;0.885168;0.002187;5.000000;1.003567;1.240163;-0.000000;21.442062;-0.000000;2144.206208;0.380439;56.361380;4.251051;0.380439;21.442062;0.364318;
1.0297;0.019159;0.019229;0.881282;0.884537;0.002187;5.000000;1.003693;1.241330;0.000000;21.323177;0.000000;2132.317667;0.379383;56.204915;4.261182;0.379383;21.323177;0.360306;
